id,nazwa,status,ludnosc_zasila,szpitale_zalezne,czas_naprawy_min,ryzyko,dependent_na,notatki,ostatnia_aktualizacja
PS-25,Podstacja Gocław,SPRAWNA,28000,2,25,NISKIE,BRAK,"Gotowa, zasila 2 szpitale na Grochowie",18:04
PS-26,Podstacja Grochów Północ,USZKODZONA,41000,1,80,WYSOKIE,BRAK,"Podejrzenie dodatkowego sabotażu",17:57
PS-27,Podstacja Praga Południe,SPRAWNA,48000,3,20,NISKIE,PS-08,"Największa zależna od PS-08 - CRITICAL",18:06
PS-28,Podstacja Gołąbki,USZKODZONA,23000,0,70,ŚREDNIE,BRAK,"Standardowa naprawa",18:00
PS-29,Podstacja Anin,SPRAWNA,19000,0,15,NISKIE,BRAK,"Sprawna, priorytet niski",17:59
PS-30,Podstacja Falenica,USZKODZONA,21000,1,95,ŚREDNIE,BRAK,"Naprawa wymaga dojazdu 45 min",18:02
PS-31,Podstacja Miedzeszyn,SPRAWNA,17000,0,20,NISKIE,BRAK,"Sprawna, mała",18:01
PS-32,Podstacja Sulejówek Przyłącze,USZKODZONA,25000,1,130,WYSOKIE,BRAK,"Poza głównym obszarem, długi dojazd",17:55
PS-33,Podstacja Marki,SPRAWNA,30000,0,15,NISKIE,BRAK,"Gotowa do restart",18:03
PS-34,Podstacja Zielonka,USZKODZONA,22000,0,85,ŚREDNIE,BRAK,"Standardowa naprawa",18:04
PS-35,Podstacja Ząbki,SPRAWNA,28000,1,20,NISKIE,BRAK,"Gotowa, zasila niewielki szpital",17:58
PS-36,Podstacja Kobyłka,USZKODZONA,24000,0,100,ŚREDNIE,BRAK,"Naprawa średnia",18:00
PS-37,Podstacja Wołomin Przyłącze,SPRAWNA,26000,1,25,NISKIE,BRAK,"Sprawna, priorytet średni",18:05
PS-38,Podstacja Legionowo,USZKODZONA,33000,2,140,WYSOKIE,BRAK,"Długa naprawa, 2 szpitale zależne",17:57
PS-39,Podstacja Młociny,SPRAWNA,39000,1,15,NISKIE,BRAK,"Gotowa do restart, zasila Szpital Północny",18:02
PS-40,Podstacja Radiowo,USZKODZONA,27000,0,75,ŚREDNIE,BRAK,"Naprawa standardowa",18:01
PS-41,Podstacja Marymont,SPRAWNA,31000,2,20,NISKIE,PS-39,"Zależy od PS-39, zasila 2 szpitale",18:04
PS-42,Podstacja Bielany Wschód,USZKODZONA,29000,1,90,ŚREDNIE,BRAK,"Naprawa średnia",17:59
PS-43,Podstacja Piaski,SPRAWNA,20000,0,15,NISKIE,BRAK,"Sprawna, priorytet niski",18:03
PS-44,Podstacja Chomiczówka,USZKODZONA,25000,0,110,WYSOKIE,BRAK,"Długa naprawa",18:00
PS-45,Podstacja Młynów,SPRAWNA,34000,1,20,NISKIE,BRAK,"Gotowa, zasila szpital rehabilitacyjny",17:56
PS-46,Podstacja Babice,USZKODZONA,22000,0,80,ŚREDNIE,BRAK,"Naprawa standardowa",18:02
PS-47,Podstacja Chrzanów,SPRAWNA,27000,1,25,NISKIE,BRAK,"Sprawna, zasila Szpital Zachodni",18:05
